Region,Region code,Province,Province code,Notes,"2015*_Annual Per Capita Poverty Threshold 
(in Pesos)","2018_Annual Per Capita Poverty Threshold 
(in Pesos)",2015* Estimate_Poverty Incidence among Families (%),2018 Estimate_Poverty Incidence among Families (%),2015*_CV,2018_CV,2015*_Standard Error ,2018_Standard Error ,2015*_90% CI_Lower limit,2015*_90% CI_Upper limit,2018_90% CI_Lower limit,2018_90% CI_Upper limit,"2015*_Estimate_Magnitude of Poor Families
(in thousands)","2018_Estimate_Magnitude of Poor Families
(in thousands)",2015*_Standard Error,2018_Standard Error,2015*_90% CI_Lower limit ,2015*_90% CI_Upper limit ,2018_90% CI_Lower limit ,2018_90% CI_Upper limit 
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,BASILAN,PH150700000,,"21,472","26,738",35.6,65.7,18.1,3.4,6.5,2.3,25.0,46.3,62.0,69.4,14.1,41.6,5.8,3.2,4.5,23.7,36.3,46.8
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,,"24,388","29,195",72.0,64.1,5.6,3.7,4.0,2.4,65.4,78.7,60.2,67.9,119.5,108.9,22.7,7.1,82.2,156.8,97.2,120.6
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,,"20,299","25,115",45.2,39.9,8.5,7.5,3.8,3.0,38.9,51.4,35.0,44.8,80.1,83.1,15.9,6.7,53.9,106.3,72.0,94.1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,,"23,026","28,902",63.1,74.3,8.5,2.6,5.4,1.9,54.3,71.9,71.1,77.5,106.8,108.6,24.4,9.1,66.6,147.0,93.7,123.5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,TAWI-TAWI,PH157000000,c/,"17,599","21,174",14.5,14.7,31.8,9.3,4.6,1.4,6.9,22.1,12.4,16.9,9.9,10.2,4.0,1.1,3.3,16.5,8.4,12.0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,,,,,,,,
*Revised/updated based on the following: a) rebasing of the Consumer Price Index (CPI) market basket of prices from 2006 to 2012; and b) adoption of the 2015 Census of Population results for the weights in the Family Income and Expenditure Survey (FIES).,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
a/ Caution in utilizing the estimate for these provinces must be observed due to its very small sample size in 2015.,,,,,,,,,,,,,,,,,,,,,,,,
b/ Coefficient of variation of 2018 provincial poverty incidence among families is greater than 20%.,,,,,,,,,,,,,,,,,,,,,,,,
c/ Coefficient of variation of 2015 provincial poverty incidence among families is greater than 20%.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CV - Coefficient variation,,,,,,,,,,,,,,,,,,,,,,,,
CI - Confidence interval,,,,,,,,,,,,,,,,,,,,,,,,
