Iceland,5,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication."
Indonesia,409,,221,,348,,512,,747,,986,,1239,,1536,,1818,,1954,,1816,,1520,,1711,,1703,,1926,
Iran (Islamic Republic of),...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Iraq,0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",9,"Children estimates were not available at the time of publication.",11,"Children estimates were not available at the time of publication.",18,"Children estimates were not available at the time of publication."
Ireland,61,,62,,62,,61,,61,,74,,71,,68,,69,,67,,64,,57,,61,,67,,64,
Israel,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Italy,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Jamaica,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Japan,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Jordan,0,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication."
Kazakhstan,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Kenya,61 563,,58 127,,51 028,,50 101,,52 049,,59 214,,59 443,,53 236,,57 522,,55 646,,52 699,,48 430,,46 361,,47 235,,42 302,
Kiribati,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Kuwait,8,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",8,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",9,"Children estimates were not available at the time of publication.",11,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication."
Kyrgyzstan,52,,44,,86,,99,,114,,87,,112,,120,,133,,130,,168,,162,,179,,180,,168,
Lao People's Democratic Republic,27,,49,,49,,55,,31,,35,,79,,79,,92,,67,,78,,100,,116,,133,,183,
