Iceland,<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication."
India,,,,,,,,,,,,,,,,,,,,,,,,,1 700 000,,1 800 000,,1 800 000,
Indonesia,20 000,,25 000,,31 000,,38 000,,50 000,,63 000,,78 000,,91 000,,110 000,,130 000,,140 000,,150 000,,160 000,,180 000,,230 000,
Iran (Islamic Republic of),...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,20 000,
Iraq,<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",570,"Children estimates were not available at the time of publication.",660,"Children estimates were not available at the time of publication.",880,"Children estimates were not available at the time of publication.",1200,"Children estimates were not available at the time of publication.",1600,"Children estimates were not available at the time of publication.",2200,"Children estimates were not available at the time of publication."
Ireland,2900,,3200,,3500,,3900,,4200,,4600,,4900,,5300,,5500,,5900,,6300,,6500,,7100,,7700,,...,
Israel,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Italy,72 000,,77 000,,82 000,,87 000,,92 000,,96 000,,100 000,,110 000,,120 000,,120 000,,120 000,,130 000,,130 000,,130 000,,...,
Jamaica,5800,,6700,,7500,,8800,,9500,,10 000,,11 000,,12 000,,13 000,,14 000,,13 000,,14 000,,15 000,,15 000,,15 000,
Japan,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
