Country,2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Lebanon,86 ,77 , 97,"Children estimates were not available at the time of publication.",85 ,76 , 96,"Children estimates were not available at the time of publication.",85 ,75 , 96,"Children estimates were not available at the time of publication.",85 ,74 , 96,"Children estimates were not available at the time of publication.",89 ,77 , >98,"Children estimates were not available at the time of publication.",86 ,74 , >98,"Children estimates were not available at the time of publication.",82 ,69 , 95,"Children estimates were not available at the time of publication.",82 ,68 , 94,"Children estimates were not available at the time of publication.",82 ,68 , 94,"Children estimates were not available at the time of publication.",82 ,69 , 95,"Children estimates were not available at the time of publication."
Lesotho,91 ,84 , >98,,94 ,88 , >98,,96 ,89 , >98,,97 ,90 , >98,,97 ,90 , >98,,97 ,90 , >98,,96 ,89 , >98,,96 ,89 , >98,,96 ,89 , >98,,97 ,89 , >98,
Liberia,46 ,40 , 53,,48 ,41 , 56,,52 ,44 , 61,,56 ,48 , 66,,60 ,51 , 71,,63 ,54 , 76,,67 ,57 , 82,,72 ,61 , 88,,77 ,64 , 94,,86 ,72 , >98,
Libya,77 ,73 , 82,,81 ,76 , 86,,84 ,79 , 89,,87 ,82 , 93,,83 ,77 , 89,,86 ,79 , 92,,87 ,80 , 94,,88 ,81 , 96,,89 ,81 , 98,,90 ,82 , >98,
Lithuania,59 ,54 , 64,"Children estimates were not available at the time of publication.",59 ,54 , 64,"Children estimates were not available at the time of publication.",61 ,56 , 66,"Children estimates were not available at the time of publication.",65 ,59 , 69,"Children estimates were not available at the time of publication.",65 ,59 , 70,"Children estimates were not available at the time of publication.",66 ,60 , 72,"Children estimates were not available at the time of publication.",68 ,60 , 74,"Children estimates were not available at the time of publication.",71 ,62 , 79,"Children estimates were not available at the time of publication.",73 ,62 , 84,"Children estimates were not available at the time of publication.",73 ,61 , 86,"Children estimates were not available at the time of publication."
Luxembourg,78 ,68 , 86,"Children estimates were not available at the time of publication.",78 ,68 , 86,"Children estimates were not available at the time of publication.",80 ,70 , 89,"Children estimates were not available at the time of publication.",79 ,69 , 89,"Children estimates were not available at the time of publication.",80 ,70 , 89,"Children estimates were not available at the time of publication.",81 ,70 , 91,"Children estimates were not available at the time of publication.",83 ,72 , 93,"Children estimates were not available at the time of publication.",86 ,75 , 97,"Children estimates were not available at the time of publication.",93 ,81 , >98,"Children estimates were not available at the time of publication.",84 ,74 , 95,"Children estimates were not available at the time of publication."
Madagascar,4 ,3 , 5,,5 ,4 , 6,,7 ,5 , 8,,9 ,7 , 12,,12 ,9 , 15,,13 ,11 , 18,,16 ,13 , 21,,19 ,15 , 25,,22 ,17 , 29,,29 ,22 , 38,
Malawi,79 ,77 , 84,,83 ,80 , 88,,86 ,83 , 92,,89 ,86 , 95,,91 ,88 , 98,,92 ,88 , >98,,93 ,88 , >98,,93 ,89 , >98,,94 ,90 , >98,,95 ,91 , >98,
Malaysia,71 ,64 , 76,,72 ,65 , 78,,74 ,67 , 81,,76 ,69 , 83,,78 ,71 , 86,,80 ,73 , 88,,82 ,74 , 90,,83 ,75 , 92,,86 ,77 , 95,,64 ,57 , 71,
Maldives,69 ,61 , 86,"Children estimates were not available at the time of publication.",64 ,57 , 78,"Children estimates were not available at the time of publication.",64 ,57 , 78,"Children estimates were not available at the time of publication.",59 ,52 , 70,"Children estimates were not available at the time of publication.",73 ,64 , 89,"Children estimates were not available at the time of publication.",72 ,63 , 90,"Children estimates were not available at the time of publication.",69 ,60 , 87,"Children estimates were not available at the time of publication.",66 ,57 , 84,"Children estimates were not available at the time of publication.",66 ,57 , 85,"Children estimates were not available at the time of publication.",70 ,60 , 92,"Children estimates were not available at the time of publication."
Mali,39 ,35 , 48,,42 ,37 , 52,,46 ,40 , 56,,49 ,43 , 60,,50 ,44 , 62,,55 ,48 , 68,,58 ,50 , 72,,62 ,53 , 76,,66 ,56 , 81,,71 ,61 , 87,
Malta,,,,,,,,,51 ,43 , 59,"Children estimates were not available at the time of publication.",58 ,49 , 68,"Children estimates were not available at the time of publication.",65 ,54 , 75,"Children estimates were not available at the time of publication.",71 ,60 , 83,"Children estimates were not available at the time of publication.",76 ,63 , 89,"Children estimates were not available at the time of publication.",83 ,69 , >98,"Children estimates were not available at the time of publication.",,,,,,,,
