Country,2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Kuwait,31 ,22 , 33,"Children estimates were not available at the time of publication.",34 ,25 , 37,"Children estimates were not available at the time of publication.",35 ,26 , 38,"Children estimates were not available at the time of publication.",37 ,27 , 40,"Children estimates were not available at the time of publication.",43 ,32 , 46,"Children estimates were not available at the time of publication.",50 ,37 , 54,"Children estimates were not available at the time of publication.",49 ,35 , 53,"Children estimates were not available at the time of publication.",49 ,36 , 53,"Children estimates were not available at the time of publication.",57 ,41 , 61,"Children estimates were not available at the time of publication.",69 ,49 , 74,"Children estimates were not available at the time of publication."
Kyrgyzstan,17 ,15 , 18,,20 ,19 , 22,,24 ,22 , 26,,28 ,26 , 30,,33 ,30 , 35,,37 ,34 , 40,,40 ,37 , 43,,44 ,41 , 47,,46 ,43 , 50,,51 ,47 , 55,
Lao People's Democratic Republic,,,,,,,,,,,,,40 ,37 , 44,,43 ,39 , 47,,45 ,41 , 50,,49 ,44 , 53,,53 ,48 , 58,,58 ,52 , 64,,63 ,57 , 69,
Lebanon,,,,,,,,,66 ,59 , 75,"Children estimates were not available at the time of publication.",72 ,63 , 81,"Children estimates were not available at the time of publication.",83 ,72 , 95,"Children estimates were not available at the time of publication.",83 ,71 , 96,"Children estimates were not available at the time of publication.",78 ,66 , 90,"Children estimates were not available at the time of publication.",75 ,63 , 87,"Children estimates were not available at the time of publication.",74 ,62 , 85,"Children estimates were not available at the time of publication.",75 ,63 , 87,"Children estimates were not available at the time of publication."
Lesotho,,,,,,,,,,,,,66 ,62 , 74,,72 ,67 , 81,,79 ,73 , 89,,83 ,77 , 94,,85 ,79 , 96,,89 ,83 , >98,,93 ,86 , >98,
Liberia,,,,,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,43 ,36 , 52,,55 ,46 , 67,,69 ,58 , 85,,... ,... , ...,
Libya,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,,,,
Lithuania,,,,,,,,,26 ,24 , 28,"Children estimates were not available at the time of publication.",33 ,31 , 36,"Children estimates were not available at the time of publication.",37 ,34 , 40,"Children estimates were not available at the time of publication.",36 ,33 , 39,"Children estimates were not available at the time of publication.",38 ,33 , 41,"Children estimates were not available at the time of publication.",41 ,36 , 46,"Children estimates were not available at the time of publication.",45 ,39 , 52,"Children estimates were not available at the time of publication.",49 ,41 , 58,"Children estimates were not available at the time of publication."
Luxembourg,63 ,55 , 70,"Children estimates were not available at the time of publication.",66 ,57 , 73,"Children estimates were not available at the time of publication.",68 ,60 , 76,"Children estimates were not available at the time of publication.",69 ,60 , 77,"Children estimates were not available at the time of publication.",70 ,61 , 78,"Children estimates were not available at the time of publication.",70 ,61 , 79,"Children estimates were not available at the time of publication.",73 ,64 , 82,"Children estimates were not available at the time of publication.",79 ,69 , 89,"Children estimates were not available at the time of publication.",79 ,69 , 89,"Children estimates were not available at the time of publication.",83 ,73 , 94,"Children estimates were not available at the time of publication."
Madagascar,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Malawi,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,75 ,72 , 81,,81 ,77 , 87,,82 ,78 , 89,,84 ,80 , 91,,85 ,81 , 92,,86 ,82 , 93,
Malaysia,27 ,25 , 30,,42 ,38 , 46,,... ,... , ...,,... ,... , ...,,... ,... , ...,,49 ,44 , 53,,46 ,42 , 51,,49 ,44 , 54,,54 ,48 , 59,,56 ,50 , 62,
Maldives,11 ,10 , 13,"Children estimates were not available at the time of publication.",13 ,11 , 15,"Children estimates were not available at the time of publication.",10 ,9 , 12,"Children estimates were not available at the time of publication.",16 ,15 , 20,"Children estimates were not available at the time of publication.",19 ,17 , 24,"Children estimates were not available at the time of publication.",31 ,27 , 39,"Children estimates were not available at the time of publication.",36 ,31 , 45,"Children estimates were not available at the time of publication.",36 ,32 , 46,"Children estimates were not available at the time of publication.",37 ,32 , 47,"Children estimates were not available at the time of publication.",38 ,33 , 51,"Children estimates were not available at the time of publication."
