Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper, 2022,2022_lower, 2022_upper, 2023,2023_lower, 2023_upper, 2024,2024_lower, 2024_upper
Guyana,26 ,18 , 35,46 ,31 , 61,36 ,24 , 50,31 ,20 , 43,56 ,36 , 79,52 ,34 , 73,,,,55 ,36 , 77,51 ,32 , 70,>98 ,>98 , >98,60 ,39 , 83,>98 ,72 , >98,>98 ,66 , >98,56 ,38 , 77,43 ,29 , 59
Haiti,,,,62 ,53 , 73,79 ,69 , 93,43 ,38 , 51,46 ,41 , 53,42 ,37 , 49,46 ,41 , 53,52 ,46 , 61,54 ,48 , 64,55 ,49 , 64,49 ,43 , 57,47 ,41 , 55,54 ,47 , 64,37 ,32 , 44,32 ,27 , 38
Honduras,55 ,49 , 62,71 ,63 , 79,35 ,31 , 39,40 ,35 , 43,42 ,37 , 46,35 ,31 , 39,53 ,47 , 59,53 ,47 , 59,42 ,37 , 47,58 ,52 , 65,49 ,43 , 54,57 ,51 , 64,54 ,48 , 60,52 ,46 , 58,50 ,45 , 57
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67 ,54 , 82
Indonesia,,,,,,,,,,4 ,3 , 5,5 ,4 , 6,7 ,6 , 8,2 ,2 , 2,<1 ,<1 , 1,1 ,1 , 2,1 ,1 , 1,4 ,4 , 5,6 ,5 , 7,8 ,7 , 10,12 ,10 , 14,13 ,11 , 15
Iran (Islamic Republic of),15 ,11 , 19,,,,10 ,8 , 13,15 ,12 , 18,19 ,15 , 24,24 ,19 , 30,29 ,23 , 38,40 ,31 , 53,46 ,35 , 62,38 ,28 , 53,29 ,21 , 40,40 ,29 , 58,37 ,25 , 54,43 ,29 , 63,42 ,28 , 64
Ireland,,,,,,,,,,,,,,,,>98 ,>98 , >98,>98 ,>98 , >98,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,,,,45 ,41 , 51,,,,52 ,46 , 57,46 ,42 , 51,,,,,,,,,,,,,27 ,25 , 30,26 ,23 , 28,>98 ,>98 , >98,90 ,81 , 98,95 ,86 , >98,94 ,84 , >98
Japan,,,,50 ,45 , 56,,,,,,,54 ,49 , 60,66 ,60 , 74,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,22 ,20 , 24,,,,,,,40 ,36 , 45,,,,,,,42 ,38 , 46,,,,,,,,,,,,,,,
Kazakhstan,84 ,72 , >98,81 ,68 , 96,68 ,59 , 81,60 ,53 , 71,64 ,56 , 72,53 ,46 , 59,54 ,49 , 61,74 ,67 , 83,52 ,47 , 58,57 ,51 , 64,72 ,65 , 79,75 ,68 , 83,75 ,68 , 83,76 ,68 , 86,76 ,68 , 87
Kenya,67 ,57 , 78,42 ,36 , 49,43 ,37 , 51,44 ,38 , 52,54 ,46 , 63,56 ,47 , 65,60 ,51 , 70,57 ,49 , 67,73 ,62 , 85,76 ,65 , 89,76 ,65 , 89,72 ,62 , 84,>98 ,88 , >98,92 ,78 , >98,78 ,67 , 91
Kuwait,,,,84 ,74 , >98,,,,,,,,,,,,,35 ,32 , 49,23 ,20 , 32,47 ,42 , 65,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,3 ,2 , 3,11 ,9 , 12,11 ,9 , 12,36 ,32 , 41,31 ,28 , 34,64 ,57 , 70,67 ,62 , 75,66 ,61 , 73,64 ,58 , 70,88 ,81 , 98,90 ,82 , >98,96 ,88 , >98,73 ,68 , 82,>98 ,94 , >98
Lao People's Democratic Republic,1 ,1 , 1,11 ,10 , 13,8 ,7 , 10,14 ,12 , 17,4 ,3 , 4,4 ,3 , 5,8 ,7 , 9,10 ,9 , 11,12 ,10 , 14,8 ,7 , 9,34 ,30 , 39,41 ,36 , 48,22 ,20 , 26,30 ,26 , 36,21 ,19 , 25
Latvia,33 ,29 , 37,62 ,56 , 70,52 ,46 , 60,72 ,65 , 82,64 ,57 , 72,,,,74 ,67 , 82,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,63 ,57 , 71,,,,,,,,,,25 ,23 , 29,40 ,36 , 45,14 ,13 , 16,43 ,39 , 49,73 ,66 , 82,84 ,76 , 93,,,,,,,,,
Lesotho,89 ,81 , >98,90 ,80 , >98,,,,49 ,44 , 59,55 ,50 , 66,>98 ,90 , >98,71 ,65 , 83,93 ,85 , >98,80 ,74 , 95,75 ,69 , 88,68 ,62 , 79,71 ,65 , 83,25 ,23 , 29,68 ,61 , 80,63 ,57 , 74
Liberia,3 ,3 , 4,11 ,9 , 13,18 ,15 , 21,20 ,17 , 24,8 ,7 , 10,,,,,,,6 ,5 , 7,11 ,9 , 13,18 ,14 , 21,13 ,11 , 16,13 ,11 , 16,27 ,22 , 32,17 ,13 , 20,18 ,14 , 22
Libya,,,,,,,,,,53 ,49 , 57,,,,,,,39 ,36 , 42,31 ,28 , 33,52 ,47 , 56,64 ,58 , 71,41 ,36 , 45,54 ,47 , 60,44 ,39 , 50,,,,,,
Lithuania,67 ,57 , 80,,,,,,,,,,60 ,53 , 70,60 ,53 , 69,>98 ,90 , >98,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,>98 ,>98 , >98,,,,>98 ,>98 , >98,>98 ,95 , >98,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,<1 ,<1 , <1,<1 ,<1 , <1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,5 ,5 , 6,16 ,15 , 19,21 ,19 , 25,22 ,20 , 25,35 ,31 , 41,60 ,55 , 71,97 ,89 , >98,74 ,67 , 88,75 ,68 , 89,79 ,71 , 93,79 ,72 , 95,84 ,77 , >98,89 ,82 , >98
Malaysia,55 ,48 , 64,57 ,50 , 66,55 ,49 , 62,61 ,54 , 71,69 ,62 , 80,61 ,54 , 68,73 ,67 , 82,>98 ,>98 , >98,93 ,81 , >98,82 ,72 , 95,97 ,87 , >98,84 ,76 , 95,80 ,72 , 90,95 ,86 , >98,94 ,85 , >98
Maldives,,,,,,,,,,,,,>98 ,>98 , >98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,10 ,8 , 12,10 ,8 , 12,15 ,12 , 17,12 ,10 , 14,9 ,7 , 11,4 ,3 , 5,16 ,13 , 19,30 ,24 , 35,28 ,22 , 33,41 ,33 , 48,19 ,15 , 22,24 ,19 , 28,23 ,19 , 27,52 ,41 , 62,28 ,22 , 33
Malta,,,,>98 ,>98 , >98,,,,>98 ,>98 , >98,,,,>98 ,88 , >98,46 ,41 , 53,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,10 ,8 , 12,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,13 ,12 , 15,4 ,3 , 5,58 ,51 , 68,38 ,33 , 43,28 ,25 , 32,41 ,36 , 48,60 ,52 , 70,>98 ,>98 , >98,46 ,40 , 55,55 ,47 , 66,,,,,,,,,
Mongolia,,,,36 ,30 , 42,63 ,54 , 72,,,,>98 ,83 , >98,46 ,36 , 59,>98 ,>98 , >98,>98 ,>98 , >98,92 ,79 , >98,61 ,50 , 73,31 ,26 , 38,49 ,42 , 56,51 ,45 , 59,27 ,24 , 32,87 ,74 , >98
Montenegro,,,,,,,,,,>98 ,90 , >98,,,,,,,,,,77 ,66 , 89,,,,,,,,,,,,,,,,72 ,59 , 85,,,
Morocco,9 ,8 , 10,9 ,8 , 10,32 ,28 , 35,32 ,29 , 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,31 ,28 , 36,35 ,31 , 40,29 ,26 , 33,29 ,26 , 34,36 ,32 , 41,38 ,34 , 43,40 ,37 , 46,45 ,41 , 52,52 ,47 , 60,55 ,50 , 63,56 ,51 , 65,59 ,54 , 68,66 ,60 , 76,68 ,62 , 79,68 ,61 , 79
Myanmar,1 ,1 , 2,4 ,3 , 5,5 ,5 , 6,,,,,,,16 ,14 , 19,28 ,25 , 33,32 ,28 , 38,27 ,24 , 32,54 ,47 , 65,,,,,,,12 ,10 , 15,29 ,25 , 37,32 ,27 , 40
Namibia,39 ,35 , 45,62 ,56 , 73,46 ,42 , 54,45 ,40 , 54,75 ,67 , 88,14 ,12 , 16,43 ,38 , 50,>98 ,92 , >98,,,,90 ,81 , >98,>98 ,>98 , >98,>98 ,>98 , >98,84 ,77 , 95,95 ,87 , >98,75 ,69 , 85
Nepal,2 ,2 , 3,3 ,3 , 4,6 ,5 , 7,3 ,3 , 4,5 ,5 , 6,14 ,12 , 16,20 ,17 , 23,35 ,30 , 41,56 ,49 , 66,67 ,56 , 77,61 ,53 , 72,4 ,4 , 5,43 ,37 , 49,44 ,38 , 51,51 ,44 , 59
New Zealand,,,,>98 ,93 , >98,65 ,59 , 71,74 ,68 , 81,,,,47 ,43 , 52,,,,40 ,36 , 44,33 ,30 , 37,>98 ,>98 , >98,>98 ,>98 , >98,>98 ,>98 , >98,37 ,33 , 42,57 ,50 , 67,68 ,61 , 80
Nicaragua,39 ,31 , 49,47 ,37 , 58,47 ,37 , 58,57 ,45 , 71,51 ,40 , 64,64 ,51 , 83,59 ,47 , 77,75 ,57 , 95,84 ,64 , >98,66 ,49 , 87,73 ,53 , >98,79 ,57 , >98,72 ,50 , >98,76 ,52 , >98,66 ,43 , 96
Niger,,,,,,,1 ,1 , 2,9 ,8 , 10,2 ,2 , 2,13 ,11 , 14,6 ,5 , 7,12 ,11 , 13,6 ,5 , 7,5 ,4 , 5,3 ,2 , 3,16 ,14 , 19,7 ,6 , 7,12 ,11 , 14,20 ,18 , 23
Nigeria,8 ,7 , 10,9 ,8 , 11,8 ,7 , 9,7 ,6 , 9,9 ,8 , 10,16 ,14 , 18,19 ,17 , 22,21 ,19 , 25,20 ,18 , 24,31 ,28 , 36,24 ,22 , 28,19 ,17 , 23,15 ,13 , 18,23 ,21 , 28,21 ,18 , 25
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 ,51 , 71,,,,,,,,,,,,,,,
Oman,,,,69 ,63 , 77,28 ,25 , 30,39 ,36 , 43,61 ,56 , 67,57 ,52 , 62,67 ,61 , 73,59 ,54 , 65,70 ,64 , 76,81 ,74 , 88,45 ,41 , 49,,,,,,,,,,,,
